CustomerID,Recency,Frequency,Monetary,RecencyGroup,FrequencyGroup,MonetaryGroup,RFMSum
15061.0,3 days,410,132.26521951219513,A,A,A,AAA
14866.0,10 days,103,137.83932038834953,A,A,A,AAA
13694.0,3 days,585,107.09931623931622,A,A,A,AAA
16210.0,1 days,123,171.43333333333334,A,A,A,AAA
18102.0,0 days,433,592.2366974595841,A,A,A,AAA
12415.0,24 days,778,159.0301413881748,A,A,A,AAA
13777.0,0 days,219,117.57237442922374,A,A,A,AAA
17381.0,8 days,110,184.2948181818182,A,A,A,AAA
15838.0,11 days,169,197.341775147929,A,A,A,AAA
17389.0,0 days,224,139.7325,A,A,A,AAA
15769.0,7 days,147,352.54231292517005,A,A,A,AAA
16684.0,4 days,281,234.49138790035582,A,A,A,AAA
14258.0,9 days,112,112.94714285714284,A,A,A,AAA
12931.0,21 days,102,328.0667647058824,A,A,A,AAA
17450.0,8 days,351,534.1372364672364,A,A,A,AAA
14646.0,1 days,2085,134.04749160671454,A,A,A,AAA
17404.0,4 days,201,150.75034825870648,A,A,A,AAA
16013.0,3 days,151,220.9685430463576,A,A,A,AAA
12901.0,8 days,125,130.3448,A,A,A,AAA
